Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips 100-250,Number of Trips >=250
998458834,1440118460,1178880737,72345156.8386086,33090363,9526455
956416091,1428520645,1108115938,71621818.32027577,32864945,10087609
839844593,1258835542,949202785,61583886.056739815,32399860,10478179
953213395,1336162948,1104545829,63795218.77655907,26953401,8507852
942806755,1329936837,1109021121,64648581.00626959,27005184,8723910
1003465130,1368037880,1088828391,74291708.739335,40425567,17181043
996700176,1346680727,1058105960,76679119.80633031,43430884,17907797
1037089746,1431814129,1098443595,73761777.75235109,42149601,16779080
926473764,1333851188,966536191,66573408.99404389,39036281,17943566
782617174,1173799237,826164422,49611677.171733,28233170,10002904
884094090,1258733662,1016436540,60823507.91225321,27395653,9262634
835405701,1158800065,956070614,57935493.761203386,26001154,9035620
834349058,1145345843,949628664,58271774.044813536,26604526,9120551
813812932,1120018564,912102832,55367609.750235036,25699176,8739122
842674539,1172826191,919953122,55755197.56314635,27290241,9340984
783916759,1122399717,780670317,45001178.01786274,24927132,9508442
649094885,924607623,606784632,37355505.2386328,22859047,8734741
690464464,947131873,762941852,46793169.68516777,21846402,7481291
711693142,942613389,752248294,47414627.274835475,22353566,8013723
710701120,931314094,749624544,47477495.390718095,22523183,8029699
747138756,965731016,765410407,46952451.663741775,21619681,7404234
740337981,979764452,764193230,47115651.551724136,22738696,7616177
667173322,957901947,653908288,36880551.18338558,20114300,7880867
