year,Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100
2019/07/21,971688649.082433,1633274383.3864446,1383313078.8976276,266536742.88851085,35822917.84384354
2019/07/22,972278839.9321733,1636307540.1479087,1384402631.1096349,266616163.9731805,35950655.31389732
2019/07/23,971035339.0502192,1636640728.1232567,1382934287.663036,266174805.2417365,36175008.583944686
2019/07/24,972625578.5237156,1640129241.511519,1384751750.2651262,266240920.5844873,36214679.8782712
2019/07/25,972408126.5597717,1641059328.218902,1385115294.1458447,265964911.98165703,36202484.2169206
2019/07/26,971145347.2477202,1640770387.2952554,1386090339.873607,265841302.37712583,36195991.34030285
2019/07/27,973220563.845176,1643669919.5803125,1390119742.2237823,266240376.24299783,36140320.94104449
2019/07/28,975647556.871223,1648182782.9287138,1393525971.8152575,266661883.67316797,36242889.60444867
2019/07/29,977550781.7288336,1652523643.2426434,1395460481.0604343,266865856.6353292,36366491.87197929
2019/07/30,976420803.0245236,1653260673.4876924,1393920624.593072,266440326.08641705,36595406.73682304
2019/07/31,976642329.2094584,1655466718.297412,1394609694.753352,266413211.91836545,36642006.76012924
2019/08/01,976448249.5602084,1656634449.3728297,1395053733.3846295,266137537.5530249,36625520.30734319
2019/08/02,976210090.081949,1657256794.2379155,1396587842.5681374,266118181.6232436,36625588.52687776
2019/08/03,978354544.8978612,1660144214.0683074,1400642804.5476184,266593756.5313353,36559684.91292608
2019/08/04,980352420.318503,1664271650.0967114,1404040749.7101588,267111663.93607,36654646.64313793
2019/08/05,982273141.8855942,1668497415.4465048,1406053017.390029,267439236.8819625,36738036.45609981
2019/08/06,980812105.069883,1667910392.9085891,1404387129.3843317,267260399.7324049,36891257.39268568
2019/08/07,981544427.051686,1669442924.1581326,1404925247.8750029,267275876.78781435,36907038.85398325
2019/08/08,981235493.1670372,1669682720.7059958,1404845275.617843,267043757.12971452,36831500.41309938
2019/08/09,982145540.2296704,1671076503.753144,1406327246.110678,267068797.14120603,36728515.91304259
2019/08/10,984303031.3510226,1674058287.7903185,1409928619.937173,267568726.8438616,36569618.51850897
2019/08/11,986248909.5013986,1678211137.7193158,1412482454.0091424,267983309.39621097,36576801.92035692
2019/08/12,988912153.2527956,1682797192.564791,1413836867.1790462,268188868.85849312,36583288.14321222
2019/08/13,988859393.1405436,1683379565.3923433,1412507744.8685825,268003642.5754249,36703726.90282701
2019/08/14,990223156.953552,1685264534.28636,1413073403.2825744,267995544.3829922,36685508.001233935
2019/08/15,990334927.7464292,1685298391.727002,1412924089.5456188,267800341.14928627,36590041.32945803
2019/08/16,991059740.9279472,1685333757.61087,1414017485.0679798,267845500.8392126,36485369.01651509
2019/08/17,993359549.0444318,1687239987.380371,1417645504.0137143,268434590.14014268,36325288.33020085
2019/08/18,995169030.3516504,1689745547.7365909,1419749210.8332596,268806304.7327805,36358235.63550322
2019/08/19,997412881.6964692,1692495444.745303,1420721112.9553568,269014579.66098297,36371550.75613567
2019/08/20,997697590.7850596,1692366401.835647,1419048180.3632607,268815697.1148964,36445664.90246582
2019/08/21,998971194.0743204,1693004544.528212,1419004147.784377,268729890.37776047,36392634.71494417
2019/08/22,999178787.9921706,1692023868.950585,1418326914.494701,268504711.55799115,36263461.60575948
2019/08/23,999833270.2121854,1690720425.5753405,1418786434.1181304,268522697.8104883,36118601.73502873
2019/08/24,1000252422.0936416,1689194614.7764072,1418669358.3374004,268608125.5869018,35961127.45182083
2019/08/25,999197268.4055214,1688008870.9960294,1418792328.6143515,268359105.4841372,35603881.73206054
2019/08/26,1002174155.0276434,1689694359.032479,1419380785.3107674,268559146.2666562,35576191.66892898
2019/08/27,1003124657.1752962,1688996150.7797222,1417628570.56914,268367168.58268103,35606245.65570435
2019/08/28,1005101584.8492156,1688863931.9706025,1417563598.8810253,268286214.0355924,35512005.73049631
